Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Breast,Women,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,"5,637",99.9,99.8,100.0
Breast,Women,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,"18,441",100.0,99.9,100.1
Breast,Women,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,"22,288",100.1,100.0,100.2
Breast,Women,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,"23,991",100.3,100.2,100.4
Breast,Women,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,"12,669",99.6,99.1,100.0
Breast,Women,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,"83,026",100.0,100.0,100.1
Breast,Women,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,"83,026",100.0,99.8,100.1
Breast,Women,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,"9,492",99.6,99.4,99.7
Breast,Women,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,"18,460",99.7,99.6,99.8
Breast,Women,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,"15,609",99.7,99.5,99.8
Breast,Women,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,"16,068",99.4,99.2,99.6
Breast,Women,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,"19,768",97.1,96.7,97.5
Breast,Women,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"79,397",99.0,98.9,99.1
Breast,Women,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"79,397",98.9,98.7,99.0
Breast,Women,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,"2,592",97.4,96.8,98.0
Breast,Women,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,"4,410",98.4,98.0,98.8
Breast,Women,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,"3,486",98.0,97.5,98.6
Breast,Women,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,"3,395",96.8,96.1,97.5
Breast,Women,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,"4,486",90.7,89.6,91.8
